team_p1,teamname,TeamMembers,s1,s2,s3,timeResult,distanceResult,watts,wkg,speed,lpoints,zrldivision,member_p1,member_flag,member_name,member_activity,member_category,member_wkg,member_watts,member_timeResult,member_distanceResult,member_gap
1,WATT Rockets,6,,,,3038.325,29541.000,203,3.21,9.72,9,2350C30,6,be,G. Wellens,2009742837045805104,30,2.685,244,3271.995,31657.00,236.008000
1,WATT Rockets,6,,,,3038.325,29541.000,203,3.21,9.72,9,2350C30,2,be,R. Struyf ⚡WATT⚡,2009744665317752880,30,3.047,235,3070.489,29728.00,34.502000
1,WATT Rockets,6,,,,3038.325,29541.000,203,3.21,9.72,9,2350C30,5,be,E. Van de Walle,2009744329219784720,30,2.911,228,3191.909,29687.00,155.922000
1,WATT Rockets,6,,,,3038.325,29541.000,203,3.21,9.72,9,2350C30,4,be,J. Peeters,2009741847290708016,30,2.819,225,3073.569,29842.00,37.582000
1,WATT Rockets,6,,,,3038.325,29541.000,203,3.21,9.72,9,2350C30,3,be,K. Blockx,2009744817394843648,30,3.238,180,3072.631,30159.00,36.644000
1,WATT Rockets,6,,,,3038.325,29541.000,203,3.21,9.72,9,2350C30,1,be,R. Enkels,2009744114521751552,30,3.719,173,3038.325,29541.00,2.338000
2,Foudre Champagne,6,,,,3087.808,31435.000,234,3.02,10.18,8,2350C30,1,fr,A. Labenj,2009744491421925376,30,3.114,216,3087.808,31435.00,51.821000
2,Foudre Champagne,6,,,,3087.808,31435.000,234,3.02,10.18,8,2350C30,6,fr,J. Carrere,2009744735580733440,30,3.006,222,3190.865,29684.00,154.878000
2,Foudre Champagne,6,,,,3087.808,31435.000,234,3.02,10.18,8,2350C30,2,fr,P. LEBAULT,2009732418713436176,30,2.875,243,3088.831,29951.00,52.844000
2,Foudre Champagne,6,,,,3087.808,31435.000,234,3.02,10.18,8,2350C30,5,fr,J. Cussac,2009742327588880400,30,2.864,218,3170.298,29456.00,134.311000
2,Foudre Champagne,6,,,,3087.808,31435.000,234,3.02,10.18,8,2350C30,3,re,M. PERRY,2009746486610362384,30,3.033,232,3169.954,29911.00,133.967000
2,Foudre Champagne,6,,,,3087.808,31435.000,234,3.02,10.18,8,2350C30,4,fr,J. Leloup,2009744136885796896,30,3.042,243,3170.266,29826.00,134.279000
3,Team HCS,6,,,,3035.987,29671.000,247,2.94,9.77,7,2350C30,1,dk,M. Kimer,2009745148518334480,30,3.395,265,3035.987,29671.00,0.000000
3,Team HCS,6,,,,3035.987,29671.000,247,2.94,9.77,7,2350C30,3,dk,L. Jensen,2009742825813458992,30,2.918,231,3184.190,29729.00,148.203000
